Player,Number,Position,Game,Goals,Shots,Assists,GBs,CTO,Draws,TOs,YC,GC
Kallie,13,M,UD-N,0,0,0,0,0,0,0,0,0
Katie,6,M,UD-N,0,0,0,0,0,0,0,0,0
Kenedee,14,M,UD-N,0,0,0,1,0,1,0,0,0
Kenna,25,A,UD-N,0,1,0,0,0,0,0,0,0
Kim,19,D,UD-N,0,0,0,0,0,0,0,1,0
Lauren,8,M,UD-N,0,0,0,2,0,0,0,0,0
Logan,20,M,UD-N,0,0,0,0,0,1,0,0,0
Maysen,22,M,UD-N,0,0,0,0,1,0,0,0,0
Natalie,1,M,UD-N,1,4,0,1,0,0,0,0,0
Rachel,26,A,UD-N,0,0,0,0,0,0,0,0,0
Raegan,24,A,UD-N,0,0,0,0,0,0,0,0,0
Roni,4,D,UD-N,0,0,0,0,0,0,0,0,0
Sarah,10,A,UD-N,0,0,0,0,0,0,0,0,0
Shannon,23,A,UD-N,0,3,0,1,0,0,0,1,0
Taylor,2,D,UD-N,0,0,0,0,0,0,1,0,0
Tess,3,M,UD-N,4,5,0,1,0,0,0,0,0
Becca,15,M,Mich-N,0,0,0,0,0,0,0,0,0
Brooklyn,5,A,Mich-N,0,0,0,0,0,0,0,0,0
Devinne,11,D,Mich-N,0,0,0,2,2,0,2,1,0
Haley,9,A,Mich-N,1,1,0,1,0,0,0,0,0
Heather,12,M,Mich-N,4,4,0,5,1,5,1,1,0
Julia,27,D,Mich-N,0,0,0,1,2,0,1,0,0
Kallie,13,M,Mich-N,2,3,0,0,0,0,0,0,0
Katie,6,M,Mich-N,0,0,0,0,0,0,0,0,0
Kenedee,14,M,Mich-N,1,1,0,0,0,0,1,0,0
Kenna,25,A,Mich-N,0,0,0,0,1,0,1,0,0
Kim,19,D,Mich-N,0,0,0,0,1,0,0,0,0
Lauren,8,M,Mich-N,0,1,0,2,0,0,0,0,0
Logan,20,M,Mich-N,0,1,0,0,0,3,0,0,0
Maysen,22,M,Mich-N,0,0,0,0,0,0,0,0,0
Natalie,1,M,Mich-N,0,0,0,0,0,0,0,0,0
Rachel,26,A,Mich-N,0,0,0,0,0,0,0,0,0
Raegan,24,A,Mich-N,0,0,0,0,0,0,0,0,0
Roni,4,D,Mich-N,0,0,0,0,0,0,0,0,0
Sarah,10,A,Mich-N,0,0,0,0,0,0,0,0,0
Shannon,23,A,Mich-N,2,5,0,2,0,0,2,0,0
Taylor,2,D,Mich-N,0,0,0,0,0,0,1,0,0
Tess,3,M,Mich-N,0,5,0,3,2,5,3,0,0
,,,,,,,,,,,,
